Year,Team,Record,Winning Percentage,,,,,,,,,,,,,,,,,
2009-10,Cavaliers,61-21,0.744,,,,,,,,,,,,,,,,,
2008-09,Cavaliers,66-16,0.805,,,,,,,,,,,,,,,,,
2007-08,Cavaliers,45-37,0.549,,,,,,,,,,,,,,,,,
2006-07,Cavaliers,50-32,0.61,,,,,,,,,,,,,,,,,
2005-06,Cavaliers,50-32,0.61,,,,,,,,,,,,,,,,,
2004-05,Cavaliers,42-40,0.512,,,,,,,,,,,,,,,,,
2003-04,Cavaliers,35-47,0.427,,,,,,,,,,,,,,,,,
2002-03,Cavaliers,17-65,0.207,,,,,,,,,,,,,,,,,
2001-02,Cavaliers,29-53,0.354,,,,,,,,,,,,,,,,,
2000-01,Cavaliers,30-52,0.366,,,,,,,,,,,,,,,,,
2016-17,Mavericks,15-29,0.341,,,,,,,,,,,,,,,,,
2015-16,Mavericks,42-40,0.512,,,,,,,,,,,,,,,,,
2014-15,Mavericks,50-32,0.61,,,,,,,,,,,,,,,,,
2013-14,Mavericks,49-33,0.598,,,,,,,,,,,,,,,,,
2012-13,Mavericks,41-41,0.5,,,,,,,,,,,,,,,,,
2011-12,Mavericks,36-30,0.545,,,,,,,,,,,,,,,,,
2010-11,Mavericks,57-25,0.695,,,,,,,,,,,,,,,,,
2009-10,Mavericks,55-27,0.671,,,,,,,,,,,,,,,,,
2008-09,Mavericks,50-32,0.61,,,,,,,,,,,,,,,,,
2007-08,Mavericks,51-31,0.622,,,,,,,,,,,,,,,,,
2006-07,Mavericks,67-15,0.817,,,,,,,,,,,,,,,,,
2005-06,Mavericks,60-22,0.732,,,,,,,,,,,,,,,,,
2004-05,Mavericks,58-24,0.707,,,,,,,,,,,,,,,,,
2003-04,Mavericks,52-30,0.634,,,,,,,,,,,,,,,,,
2002-03,Mavericks,60-22,0.732,,,,,,,,,,,,,,,,,
2001-02,Mavericks,57-25,0.695,,,,,,,,,,,,,,,,,
2000-01,Mavericks,53-29,0.646,,,,,,,,,,,,,,,,,
2016-17,Nuggets,18-25,0.419,,,,,,,,,,,,,,,,,
2015-16,Nuggets,33-49,0.402,,,,,,,,,,,,,,,,,
2014-15,Nuggets,30-52,0.366,,,,,,,,,,,,,,,,,
2013-14,Nuggets,36-46,0.439,,,,,,,,,,,,,,,,,
2012-13,Nuggets,57-25,0.695,,,,,,,,,,,,,,,,,
2011-12,Nuggets,38-28,0.576,,,,,,,,,,,,,,,,,
2010-11,Nuggets,50-32,0.61,,,,,,,,,,,,,,,,,
2009-10,Nuggets,53-29,0.646,,,,,,,,,,,,,,,,,
2008-09,Nuggets,54-28,0.659,,,,,,,,,,,,,,,,,
2007-08,Nuggets,50-32,0.61,,,,,,,,,,,,,,,,,
2006-07,Nuggets,45-37,0.549,,,,,,,,,,,,,,,,,
2005-06,Nuggets,44-38,0.537,,,,,,,,,,,,,,,,,
2004-05,Nuggets,49-33,0.598,,,,,,,,,,,,,,,,,
2003-04,Nuggets,43-39,0.524,,,,,,,,,,,,,,,,,
2002-03,Nuggets,17-65,0.207,,,,,,,,,,,,,,,,,
2001-02,Nuggets,27-55,0.329,,,,,,,,,,,,,,,,,
2000-01,Nuggets,40-42,0.488,,,,,,,,,,,,,,,,,
2016-17,Pistons,21-24,0.467,,,,,,,,,,,,,,,,,
2015-16,Pistons,44-38,0.537,,,,,,,,,,,,,,,,,
2014-15,Pistons,32-50,0.39,,,,,,,,,,,,,,,,,
2013-14,Pistons,29-53,0.354,,,,,,,,,,,,,,,,,
2012-13,Pistons,29-53,0.354,,,,,,,,,,,,,,,,,
2011-12,Pistons,25-41,0.379,,,,,,,,,,,,,,,,,
2010-11,Pistons,30-52,0.366,,,,,,,,,,,,,,,,,
2009-10,Pistons,27-55,0.329,,,,,,,,,,,,,,,,,
2008-09,Pistons,39-43,0.476,,,,,,,,,,,,,,,,,
2007-08,Pistons,59-23,0.72,,,,,,,,,,,,,,,,,
2006-07,Pistons,53-29,0.646,,,,,,,,,,,,,,,,,
2005-06,Pistons,64-18,0.78,,,,,,,,,,,,,,,,,
2004-05,Pistons,54-28,0.659,,,,,,,,,,,,,,,,,
2003-04,Pistons,54-28,0.659,,,,,,,,,,,,,,,,,
2002-03,Pistons,50-32,0.61,,,,,,,,,,,,,,,,,
2001-02,Pistons,50-32,0.61,,,,,,,,,,,,,,,,,
2000-01,Pistons,32-50,0.39,,,,,,,,,,,,,,,,,
2016-17,Warriors,38-6,0.864,,,,,,,,,,,,,,,,,
2015-16,Warriors,73-9,0.89,,,,,,,,,,,,,,,,,
2014-15,Warriors,67-15,0.817,,,,,,,,,,,,,,,,,
2013-14,Warriors,51-31,0.622,,,,,,,,,,,,,,,,,
2012-13,Warriors,47-35,0.573,,,,,,,,,,,,,,,,,
2011-12,Warriors,23-43,0.348,,,,,,,,,,,,,,,,,
2010-11,Warriors,36-46,0.439,,,,,,,,,,,,,,,,,
2009-10,Warriors,26-56,0.317,,,,,,,,,,,,,,,,,
2008-09,Warriors,29-53,0.354,,,,,,,,,,,,,,,,,
2007-08,Warriors,48-34,0.585,,,,,,,,,,,,,,,,,
2006-07,Warriors,42-40,0.512,,,,,,,,,,,,,,,,,
2005-06,Warriors,34-48,0.415,,,,,,,,,,,,,,,,,
2004-05,Warriors,34-48,0.415,,,,,,,,,,,,,,,,,
2003-04,Warriors,37-45,0.451,,,,,,,,,,,,,,,,,
2002-03,Warriors,38-44,0.463,,,,,,,,,,,,,,,,,
2001-02,Warriors,21-61,0.256,,,,,,,,,,,,,,,,,
2000-01,Warriors,17-65,0.207,,,,,,,,,,,,,,,,,
2016-17,Rockets,34-13,0.723,,,,,,,,,,,,,,,,,
2015-16,Rockets,41-41,0.5,,,,,,,,,,,,,,,,,
2014-15,Rockets,56-26,0.683,,,,,,,,,,,,,,,,,
2013-14,Rockets,54-28,0.659,,,,,,,,,,,,,,,,,
2012-13,Rockets,45-37,0.549,,,,,,,,,,,,,,,,,
2011-12,Rockets,34-32,0.515,,,,,,,,,,,,,,,,,
2010-11,Rockets,43-39,0.524,,,,,,,,,,,,,,,,,
2009-10,Rockets,42-40,0.512,,,,,,,,,,,,,,,,,
2008-09,Rockets,53-29,0.646,,,,,,,,,,,,,,,,,
2007-08,Rockets,55-27,0.671,,,,,,,,,,,,,,,,,
2006-07,Rockets,52-30,0.634,,,,,,,,,,,,,,,,,
2005-06,Rockets,34-48,0.415,,,,,,,,,,,,,,,,,
2004-05,Rockets,51-31,0.622,,,,,,,,,,,,,,,,,
2003-04,Rockets,45-37,0.549,,,,,,,,,,,,,,,,,
2002-03,Rockets,43-39,0.524,,,,,,,,,,,,,,,,,
2001-02,Rockets,28-54,0.341,,,,,,,,,,,,,,,,,
2000-01,Rockets,45-37,0.549,,,,,,,,,,,,,,,,,
2016-17,Pacers,22-21,0.512,,,,,,,,,,,,,,,,,
2015-16,Pacers,45-37,0.549,,,,,,,,,,,,,,,,,
2014-15,Pacers,38-44,0.463,,,,,,,,,,,,,,,,,
2013-14,Pacers,56-26,0.683,,,,,,,,,,,,,,,,,
2012-13,Pacers,49-32,0.605,,,,,,,,,,,,,,,,,
2011-12,Pacers,42-24,0.636,,,,,,,,,,,,,,,,,
2010-11,Pacers,37-45,0.451,,,,,,,,,,,,,,,,,
2009-10,Pacers,32-50,0.39,,,,,,,,,,,,,,,,,
2008-09,Pacers,36-46,0.439,,,,,,,,,,,,,,,,,
2007-08,Pacers,36-46,0.439,,,,,,,,,,,,,,,,,
2006-07,Pacers,35-47,0.427,,,,,,,,,,,,,,,,,
2005-06,Pacers,41-41,0.5,,,,,,,,,,,,,,,,,
2004-05,Pacers,44-38,0.537,,,,,,,,,,,,,,,,,
2003-04,Pacers,61-21,0.744,,,,,,,,,,,,,,,,,
2002-03,Pacers,48-34,0.585,,,,,,,,,,,,,,,,,
2001-02,Pacers,42-40,0.512,,,,,,,,,,,,,,,,,
2000-01,Pacers,41-41,0.5,,,,,,,,,,,,,,,,,
2016-17,Clippers,29-16,0.644,,,,,,,,,,,,,,,,,
2015-16,Clippers,53-29,0.646,,,,,,,,,,,,,,,,,
2014-15,Clippers,56-26,0.683,,,,,,,,,,,,,,,,,
2013-14,Clippers,57-25,0.695,,,,,,,,,,,,,,,,,
2012-13,Clippers,56-26,0.683,,,,,,,,,,,,,,,,,
2011-12,Clippers,40-26,0.606,,,,,,,,,,,,,,,,,
2010-11,Clippers,32-50,0.39,,,,,,,,,,,,,,,,,
2009-10,Clippers,29-53,0.354,,,,,,,,,,,,,,,,,
2008-09,Clippers,19-63,0.232,,,,,,,,,,,,,,,,,
2007-08,Clippers,23-59,0.28,,,,,,,,,,,,,,,,,
2006-07,Clippers,40-42,0.488,,,,,,,,,,,,,,,,,
2005-06,Clippers,47-35,0.573,,,,,,,,,,,,,,,,,
2004-05,Clippers,37-45,0.451,,,,,,,,,,,,,,,,,
2003-04,Clippers,28-54,0.341,,,,,,,,,,,,,,,,,
2002-03,Clippers,27-55,0.329,,,,,,,,,,,,,,,,,
2001-02,Clippers,39-43,0.476,,,,,,,,,,,,,,,,,
2000-01,Clippers,31-51,0.378,,,,,,,,,,,,,,,,,
2016-17,Lakers,16-32,0.333,,,,,,,,,,,,,,,,,
2015-16,Lakers,17-65,0.207,,,,,,,,,,,,,,,,,
2014-15,Lakers,21-61,0.256,,,,,,,,,,,,,,,,,
2013-14,Lakers,27-55,0.329,,,,,,,,,,,,,,,,,
2012-13,Lakers,45-37,0.549,,,,,,,,,,,,,,,,,
2011-12,Lakers,41-25,0.621,,,,,,,,,,,,,,,,,
2010-11,Lakers,57-25,0.695,,,,,,,,,,,,,,,,,
2009-10,Lakers,57-25,0.695,,,,,,,,,,,,,,,,,
2008-09,Lakers,65-17,0.793,,,,,,,,,,,,,,,,,
2007-08,Lakers,57-25,0.695,,,,,,,,,,,,,,,,,
2006-07,Lakers,42-40,0.512,,,,,,,,,,,,,,,,,
2005-06,Lakers,45-37,0.549,,,,,,,,,,,,,,,,,
2004-05,Lakers,34-48,0.415,,,,,,,,,,,,,,,,,
2003-04,Lakers,56-26,0.683,,,,,,,,,,,,,,,,,
2002-03,Lakers,50-32,0.61,,,,,,,,,,,,,,,,,
2001-02,Lakers,58-24,0.707,,,,,,,,,,,,,,,,,
2000-01,Lakers,56-26,0.683,,,,,,,,,,,,,,,,,
2016-17,Grizzlies,26-20,0.565,,,,,,,,,,,,,,,,,
2015-16,Grizzlies,42-40,0.512,,,,,,,,,,,,,,,,,
2014-15,Grizzlies,55-27,0.671,,,,,,,,,,,,,,,,,
2013-14,Grizzlies,50-32,0.61,,,,,,,,,,,,,,,,,
2012-13,Grizzlies,56-26,0.683,,,,,,,,,,,,,,,,,
2011-12,Grizzlies,41-25,0.621,,,,,,,,,,,,,,,,,
2010-11,Grizzlies,46-36,0.561,,,,,,,,,,,,,,,,,
2009-10,Grizzlies,40-42,0.488,,,,,,,,,,,,,,,,,
2008-09,Grizzlies,24-58,0.293,,,,,,,,,,,,,,,,,
2007-08,Grizzlies,22-60,0.268,,,,,,,,,,,,,,,,,
2006-07,Grizzlies,22-60,0.268,,,,,,,,,,,,,,,,,
2005-06,Grizzlies,49-33,0.598,,,,,,,,,,,,,,,,,
2004-05,Grizzlies,45-37,0.549,,,,,,,,,,,,,,,,,
2003-04,Grizzlies,50-32,0.61,,,,,,,,,,,,,,,,,
2002-03,Grizzlies,28-54,0.341,,,,,,,,,,,,,,,,,
2001-02,Grizzlies,23-59,0.28,,,,,,,,,,,,,,,,,
2000-01,Grizzlies,23-59,0.28,,,,,,,,,,,,,,,,,
2016-17,Heat,14-30,0.318,,,,,,,,,,,,,,,,,
2015-16,Heat,48-34,0.585,,,,,,,,,,,,,,,,,
2014-15,Heat,37-45,0.451,,,,,,,,,,,,,,,,,
2013-14,Heat,54-28,0.659,,,,,,,,,,,,,,,,,
2012-13,Heat,66-16,0.805,,,,,,,,,,,,,,,,,
2011-12,Heat,46-20,0.697,,,,,,,,,,,,,,,,,
2010-11,Heat,58-24,0.707,,,,,,,,,,,,,,,,,
2009-10,Heat,47-35,0.573,,,,,,,,,,,,,,,,,
2008-09,Heat,43-39,0.524,,,,,,,,,,,,,,,,,
2007-08,Heat,15-67,0.183,,,,,,,,,,,,,,,,,
2006-07,Heat,44-38,0.537,,,,,,,,,,,,,,,,,
2005-06,Heat,52-30,0.634,,,,,,,,,,,,,,,,,
2004-05,Heat,59-23,0.72,,,,,,,,,,,,,,,,,
2003-04,Heat,42-40,0.512,,,,,,,,,,,,,,,,,
2002-03,Heat,25-57,0.305,,,,,,,,,,,,,,,,,
2001-02,Heat,36-46,0.439,,,,,,,,,,,,,,,,,
2000-01,Heat,50-32,0.61,,,,,,,,,,,,,,,,,
2016-17,Bucks,20-23,0.465,,,,,,,,,,,,,,,,,
2015-16,Bucks,33-49,0.402,,,,,,,,,,,,,,,,,
2014-15,Bucks,41-41,0.5,,,,,,,,,,,,,,,,,
2013-14,Bucks,15-67,0.183,,,,,,,,,,,,,,,,,
2012-13,Bucks,38-44,0.463,,,,,,,,,,,,,,,,,
2011-12,Bucks,31-35,0.47,,,,,,,,,,,,,,,,,
2010-11,Bucks,35-47,0.427,,,,,,,,,,,,,,,,,
2009-10,Bucks,46-36,0.561,,,,,,,,,,,,,,,,,
2008-09,Bucks,34-48,0.415,,,,,,,,,,,,,,,,,
2007-08,Bucks,26-56,0.317,,,,,,,,,,,,,,,,,
2006-07,Bucks,28-54,0.341,,,,,,,,,,,,,,,,,
2005-06,Bucks,40-42,0.488,,,,,,,,,,,,,,,,,
2004-05,Bucks,30-52,0.366,,,,,,,,,,,,,,,,,
2003-04,Bucks,41-41,0.5,,,,,,,,,,,,,,,,,
2002-03,Bucks,42-40,0.512,,,,,,,,,,,,,,,,,
2001-02,Bucks,41-41,0.5,,,,,,,,,,,,,,,,,
2000-01,Bucks,52-30,0.634,,,,,,,,,,,,,,,,,
2016-17,Timberwolves,16-28,0.364,,,,,,,,,,,,,,,,,
2015-16,Timberwolves,29-53,0.354,,,,,,,,,,,,,,,,,
2014-15,Timberwolves,16-66,0.195,,,,,,,,,,,,,,,,,
2013-14,Timberwolves,40-42,0.488,,,,,,,,,,,,,,,,,
2012-13,Timberwolves,31-51,0.378,,,,,,,,,,,,,,,,,
2011-12,Timberwolves,26-40,0.394,,,,,,,,,,,,,,,,,
2010-11,Timberwolves,17-65,0.207,,,,,,,,,,,,,,,,,
2009-10,Timberwolves,15-67,0.183,,,,,,,,,,,,,,,,,
2008-09,Timberwolves,24-58,0.293,,,,,,,,,,,,,,,,,
2007-08,Timberwolves,22-60,0.268,,,,,,,,,,,,,,,,,
2006-07,Timberwolves,32-50,0.39,,,,,,,,,,,,,,,,,
2005-06,Timberwolves,33-49,0.402,,,,,,,,,,,,,,,,,
2004-05,Timberwolves,44-38,0.537,,,,,,,,,,,,,,,,,
2003-04,Timberwolves,58-24,0.707,,,,,,,,,,,,,,,,,
2002-03,Timberwolves,51-31,0.622,,,,,,,,,,,,,,,,,
2001-02,Timberwolves,50-32,0.61,,,,,,,,,,,,,,,,,
2000-01,Timberwolves,47-35,0.573,,,,,,,,,,,,,,,,,
2016-17,Pelicans,17-27,0.386,,,,,,,,,,,,,,,,,
2015-16,Pelicans,30-52,0.366,,,,,,,,,,,,,,,,,
2014-15,Pelicans,45-37,0.549,,,,,,,,,,,,,,,,,
2013-14,Pelicans,34-48,0.415,,,,,,,,,,,,,,,,,
2012-13,Pelicans,27-55,0.329,,,,,,,,,,,,,,,,,
2011-12,Pelicans,21-45,0.318,,,,,,,,,,,,,,,,,
2010-11,Pelicans,46-36,0.561,,,,,,,,,,,,,,,,,
2009-10,Pelicans,37-45,0.451,,,,,,,,,,,,,,,,,
2008-09,Pelicans,49-33,0.598,,,,,,,,,,,,,,,,,
2007-08,Pelicans,56-26,0.683,,,,,,,,,,,,,,,,,
2006-07,Pelicans,39-43,0.476,,,,,,,,,,,,,,,,,
2005-06,Pelicans,38-44,0.463,,,,,,,,,,,,,,,,,
2004-05,Pelicans,18-64,0.22,,,,,,,,,,,,,,,,,
2003-04,Pelicans,41-41,0.5,,,,,,,,,,,,,,,,,
2002-03,Pelicans,47-35,0.573,,,,,,,,,,,,,,,,,
2001-02,Pelicans,47-35,0.573,,,,,,,,,,,,,,,,,
2000-01,Pelicans,47-36,0.573,,,,,,,,,,,,,,,,,
2016-17,Knicks,19-26,0.422,,,,,,,,,,,,,,,,,
2015-16,Knicks,32-50,0.39,,,,,,,,,,,,,,,,,
2014-15,Knicks,17-65,0.207,,,,,,,,,,,,,,,,,
2013-14,Knicks,37-45,0.451,,,,,,,,,,,,,,,,,
2012-13,Knicks,54-28,0.659,,,,,,,,,,,,,,,,,
2011-12,Knicks,36-30,0.545,,,,,,,,,,,,,,,,,
2010-11,Knicks,42-40,0.512,,,,,,,,,,,,,,,,,
2009-10,Knicks,29-53,0.354,,,,,,,,,,,,,,,,,
2008-09,Knicks,32-50,0.39,,,,,,,,,,,,,,,,,
2007-08,Knicks,23-59,0.28,,,,,,,,,,,,,,,,,
2006-07,Knicks,33-49,0.402,,,,,,,,,,,,,,,,,
2005-06,Knicks,23-59,0.28,,,,,,,,,,,,,,,,,
2004-05,Knicks,33-49,0.402,,,,,,,,,,,,,,,,,
2003-04,Knicks,39-43,0.476,,,,,,,,,,,,,,,,,
2002-03,Knicks,37-45,0.451,,,,,,,,,,,,,,,,,
2001-02,Knicks,30-52,0.366,,,,,,,,,,,,,,,,,
2000-01,Knicks,48-34,0.585,,,,,,,,,,,,,,,,,
2016-17,Thunder,25-19,0.568,,,,,,,,,,,,,,,,,
2015-16,Thunder,55-27,0.671,,,,,,,,,,,,,,,,,
2014-15,Thunder,45-37,0.549,,,,,,,,,,,,,,,,,
2013-14,Thunder,59-23,0.72,,,,,,,,,,,,,,,,,
2012-13,Thunder,60-22,0.732,,,,,,,,,,,,,,,,,
2011-12,Thunder,47-19,0.712,,,,,,,,,,,,,,,,,
2010-11,Thunder,55-27,0.671,,,,,,,,,,,,,,,,,
2009-10,Thunder,50-32,0.61,,,,,,,,,,,,,,,,,
2008-09,Thunder,23-59,0.28,,,,,,,,,,,,,,,,,
2007-08,Thunder,20-62,0.244,,,,,,,,,,,,,,,,,
2006-07,Thunder,31-51,0.378,,,,,,,,,,,,,,,,,
2005-06,Thunder,35-47,0.427,,,,,,,,,,,,,,,,,
2004-05,Thunder,52-30,0.634,,,,,,,,,,,,,,,,,
2003-04,Thunder,37-45,0.451,,,,,,,,,,,,,,,,,
2002-03,Thunder,40-42,0.488,,,,,,,,,,,,,,,,,
2001-02,Thunder,45-37,0.549,,,,,,,,,,,,,,,,,
2000-01,Thunder,44-38,0.537,,,,,,,,,,,,,,,,,
2016-17,Magic,18-28,0.391,,,,,,,,,,,,,,,,,
2015-16,Magic,35-47,0.427,,,,,,,,,,,,,,,,,
2014-15,Magic,25-57,0.305,,,,,,,,,,,,,,,,,
2013-14,Magic,23-59,0.28,,,,,,,,,,,,,,,,,
2012-13,Magic,20-62,0.244,,,,,,,,,,,,,,,,,
2011-12,Magic,37-29,0.561,,,,,,,,,,,,,,,,,
2010-11,Magic,52-30,0.634,,,,,,,,,,,,,,,,,
2009-10,Magic,59-23,0.72,,,,,,,,,,,,,,,,,
2008-09,Magic,59-23,0.72,,,,,,,,,,,,,,,,,
2007-08,Magic,52-30,0.634,,,,,,,,,,,,,,,,,
2006-07,Magic,40-42,0.488,,,,,,,,,,,,,,,,,
2005-06,Magic,36-46,0.439,,,,,,,,,,,,,,,,,
2004-05,Magic,36-46,0.439,,,,,,,,,,,,,,,,,
2003-04,Magic,21-61,0.256,,,,,,,,,,,,,,,,,
2002-03,Magic,42-40,0.512,,,,,,,,,,,,,,,,,
2001-02,Magic,44-38,0.537,,,,,,,,,,,,,,,,,
2000-01,Magic,43-39,0.524,,,,,,,,,,,,,,,,,
2016-17,76ers,15-27,0.357,,,,,,,,,,,,,,,,,
2015-16,76ers,10-72,0.122,,,,,,,,,,,,,,,,,
2014-15,76ers,18-64,0.22,,,,,,,,,,,,,,,,,
2013-14,76ers,19-63,0.232,,,,,,,,,,,,,,,,,
2012-13,76ers,34-48,0.415,,,,,,,,,,,,,,,,,
2011-12,76ers,35-31,0.53,,,,,,,,,,,,,,,,,
2010-11,76ers,41-41,0.5,,,,,,,,,,,,,,,,,
2009-10,76ers,27-55,0.329,,,,,,,,,,,,,,,,,
2008-09,76ers,41-41,0.5,,,,,,,,,,,,,,,,,
2007-08,76ers,40-42,0.488,,,,,,,,,,,,,,,,,
2006-07,76ers,35-47,0.427,,,,,,,,,,,,,,,,,
2005-06,76ers,38-44,0.463,,,,,,,,,,,,,,,,,
2004-05,76ers,43-39,0.524,,,,,,,,,,,,,,,,,
2003-04,76ers,33-49,0.402,,,,,,,,,,,,,,,,,
2002-03,76ers,48-34,0.585,,,,,,,,,,,,,,,,,
2001-02,76ers,43-39,0.524,,,,,,,,,,,,,,,,,
2000-01,76ers,56-26,0.683,,,,,,,,,,,,,,,,,
2016-17,Suns,15-29,0.341,,,,,,,,,,,,,,,,,
2015-16,Suns,23-59,0.28,,,,,,,,,,,,,,,,,
2014-15,Suns,39-43,0.476,,,,,,,,,,,,,,,,,
2013-14,Suns,48-34,0.585,,,,,,,,,,,,,,,,,
2012-13,Suns,25-57,0.305,,,,,,,,,,,,,,,,,
2011-12,Suns,33-33,0.5,,,,,,,,,,,,,,,,,
